,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Golden State Warriors,2017-2018,Kevin Durant,29,21,21,34.2,9.3,18.0,.519,2.4,6.0,.394,7.0,12.0,.582,.585,4.0,4.7,.867,0.5,6.1,6.6,5.2,0.8,2.0,3.6,2.3,25.1
1,Golden State Warriors,2017-2018,Klay Thompson,27,26,26,33.3,8.1,15.8,.510,3.5,7.3,.474,4.6,8.5,.541,.619,1.0,1.1,.862,0.5,3.8,4.2,2.5,0.7,0.7,1.5,1.8,20.6
2,Golden State Warriors,2017-2018,Stephen Curry,29,23,23,32.6,8.3,17.7,.473,3.6,9.5,.381,4.7,8.2,.580,.575,6.0,6.5,.933,0.7,4.4,5.1,6.6,1.7,0.2,2.9,2.5,26.3
3,Golden State Warriors,2017-2018,Draymond Green,27,24,24,32.0,3.6,7.8,.460,1.3,3.6,.349,2.3,4.2,.554,.540,2.0,2.6,.762,1.1,6.2,7.3,7.1,1.5,1.3,2.8,2.8,10.4
4,Golden State Warriors,2017-2018,Andre Iguodala,34,22,1,26.1,2.4,5.0,.473,0.5,1.9,.268,1.9,3.1,.594,.523,1.0,1.6,.639,1.0,2.8,3.8,3.0,0.8,0.6,0.8,1.2,6.3
5,Golden State Warriors,2017-2018,Shaun Livingston,32,23,1,15.2,2.1,4.3,.485,0.0,0.0,.000,2.1,4.3,.490,.485,0.5,0.6,.786,0.7,1.2,1.8,2.0,0.4,0.3,0.8,1.5,4.7
6,Golden State Warriors,2017-2018,Omri Casspi,29,22,4,14.6,2.3,4.0,.575,0.3,0.5,.583,2.0,3.4,.573,.615,1.0,1.4,.767,0.4,3.5,3.9,1.0,0.3,0.5,0.7,1.5,5.9
7,Golden State Warriors,2017-2018,Zaza Pachulia,33,25,25,14.4,2.0,3.6,.560,0.0,0.0,,2.0,3.6,.560,.560,0.9,1.2,.793,1.1,3.7,4.8,1.6,0.8,0.2,1.3,1.7,5.0
8,Golden State Warriors,2017-2018,Nick Young,32,25,0,13.3,2.3,5.1,.457,1.6,3.8,.406,0.8,1.2,.613,.610,0.6,0.8,.667,0.2,1.1,1.2,0.5,0.5,0.1,0.6,0.9,6.8
9,Golden State Warriors,2017-2018,Patrick McCaw,22,23,1,13.2,1.5,3.0,.493,0.6,1.4,.406,0.9,1.6,.568,.587,0.3,0.4,.778,0.2,0.7,0.9,1.4,0.6,0.2,0.4,0.9,3.8
10,Golden State Warriors,2017-2018,David West,37,24,0,12.3,2.9,4.4,.657,0.1,0.3,.500,2.8,4.1,.667,.671,0.7,1.0,.667,0.8,2.5,3.3,1.7,0.6,1.2,1.1,1.5,6.5
11,Golden State Warriors,2017-2018,Jordan Bell,23,20,2,10.7,2.0,2.7,.722,0.0,0.0,,2.0,2.7,.722,.722,0.1,0.1,.500,1.1,2.0,3.0,1.1,0.6,1.1,0.7,1.6,4.0
12,Golden State Warriors,2017-2018,Kevon Looney,21,19,0,10.5,1.3,2.3,.545,0.0,0.0,,1.3,2.3,.545,.545,0.4,0.9,.444,0.9,1.8,2.8,0.4,0.4,0.8,0.6,1.9,2.9
13,Golden State Warriors,2017-2018,Quinn Cook,24,4,1,10.3,1.5,3.0,.500,0.5,1.5,.333,1.0,1.5,.667,.583,0.0,0.0,,0.3,1.0,1.3,2.0,0.0,0.0,0.5,0.8,3.5
14,Golden State Warriors,2017-2018,JaVale McGee,30,23,1,7.8,1.5,2.6,.567,0.0,0.1,.000,1.5,2.5,.586,.567,0.6,0.8,.778,0.7,1.3,2.0,0.6,0.3,0.7,0.4,1.2,3.6
