,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Indiana Pacers,2017-2018,Victor Oladipo,25,24,24,33.4,8.5,17.5,.483,2.5,5.6,.437,6.0,11.9,.505,.554,3.9,4.9,.788,0.6,4.6,5.2,3.9,1.9,1.1,3.3,2.5,23.3
1,Indiana Pacers,2017-2018,Thaddeus Young,29,25,25,33.1,5.9,12.0,.490,1.1,3.1,.359,4.8,8.9,.536,.537,0.4,0.7,.556,2.0,4.1,6.1,2.0,1.6,0.4,1.3,2.2,13.3
2,Indiana Pacers,2017-2018,Bojan Bogdanovic,28,25,25,31.3,5.6,11.0,.505,2.2,5.0,.448,3.3,6.0,.553,.607,1.7,2.0,.843,0.3,2.8,3.1,1.3,0.6,0.0,1.1,1.6,15.1
3,Indiana Pacers,2017-2018,Darren Collison,30,25,25,31.2,4.4,9.6,.461,1.2,3.2,.367,3.3,6.5,.506,.521,2.2,2.5,.873,0.6,2.4,3.1,6.4,1.3,0.2,1.5,2.0,12.2
4,Indiana Pacers,2017-2018,Myles Turner,21,18,17,29.1,5.4,11.2,.488,0.8,2.5,.333,4.6,8.7,.532,.525,2.1,2.7,.792,0.9,6.4,7.3,1.5,0.3,2.4,1.6,3.0,13.8
5,Indiana Pacers,2017-2018,Domantas Sabonis,21,23,8,25.0,4.5,8.5,.533,0.2,0.5,.455,4.3,8.0,.538,.546,2.9,3.8,.761,2.7,6.0,8.7,2.2,0.3,0.3,2.1,3.0,12.2
6,Indiana Pacers,2017-2018,Cory Joseph,26,25,0,24.6,2.8,6.8,.412,1.2,2.6,.453,1.6,4.2,.387,.497,1.0,1.2,.897,0.2,2.4,2.6,3.0,1.1,0.2,1.1,1.4,7.8
7,Indiana Pacers,2017-2018,Lance Stephenson,27,25,1,21.4,3.1,7.2,.433,0.7,2.2,.309,2.4,5.0,.488,.481,1.1,1.8,.600,0.8,4.0,4.8,2.5,0.6,0.2,1.5,1.8,8.0
8,Indiana Pacers,2017-2018,Al Jefferson,33,10,0,13.9,3.1,5.7,.544,0.0,0.1,.000,3.1,5.6,.554,.544,1.0,1.2,.833,1.1,3.6,4.7,1.1,0.5,0.7,0.8,1.8,7.2
9,Indiana Pacers,2017-2018,T.J. Leaf,20,21,0,10.8,1.5,3.3,.457,0.5,1.0,.455,1.0,2.3,.458,.529,0.1,0.3,.429,0.7,1.2,1.9,0.2,0.2,0.1,0.3,1.2,3.7
10,Indiana Pacers,2017-2018,Damien Wilkins,38,13,0,6.2,0.6,1.3,.471,0.0,0.5,.000,0.6,0.8,.800,.471,0.0,0.0,,0.3,0.5,0.8,0.5,0.2,0.0,0.3,0.3,1.2
11,Indiana Pacers,2017-2018,Joe Young,25,14,0,5.4,1.1,2.6,.444,0.1,0.8,.091,1.1,1.8,.600,.458,0.4,0.7,.600,0.1,0.5,0.6,0.6,0.1,0.0,0.3,0.4,2.8
12,Indiana Pacers,2017-2018,Alex Poythress,24,7,0,2.9,0.3,0.4,.667,0.3,0.3,1.000,0.0,0.1,.000,1.000,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.1,0.1,0.9
13,Indiana Pacers,2017-2018,Ike Anigbogu,19,6,0,2.8,0.2,0.8,.200,0.0,0.0,,0.2,0.8,.200,.200,0.3,0.3,1.000,0.3,0.3,0.7,0.0,0.2,0.2,0.3,0.2,0.7
